,tool,seqid,in_gfa,gfa_id,path_seqs,path_gfa
0,pggb,gi|568815592:32948613-32953121,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
1,pggb,gi|568815454:4253460-4257971,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
2,pggb,gi|568815529:4360810-4365321,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
3,pggb,gi|568815551:4192143-4196654,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
4,pggb,gi|568815561:4367981-4372490,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
5,pggb,gi|568815564:4247658-4252169,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
6,pggb,gi|568815567:4142920-4147431,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
7,pggb,gi|568815569:4347848-4352359,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
8,pggb,gi|528476637:32917185-32921696,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
9,pggb,gi|157734152:32658919-32663430,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa
10,PanPA,gi|568815592:32948613-32953121,True,DMA-3108,../sequences/HLA-zoo/DMA-3108.fa,../HLA-zoo-PanPA/output-HLA-zoo-mafft.op1.53-ep0/DMA-3108.gfa
